Tour Title;Tour URL;Opinion Count;Total Opinions;Rating;5_estrellas;4_estrellas;3_estrellas;2_estrellas;1_estrella
Huaynas Expeditions Peru;https://es.trustpilot.com/review/www.huaynasexpeditions.com;3;3;4.0;3;0;0;0;0
EXPLORE ADVENTURES PERU;https://es.trustpilot.com/review/www.incatrailexplore.com;3;3;4.0;3;0;0;0;0
Turismo iPeru;https://es.trustpilot.com/review/iperutours.com;3;3;4.0;3;0;0;0;0
AUSANGATE PERU;https://es.trustpilot.com/review/ausangateperu.com;3;3;4.0;3;0;0;0;0
Peru Full Adventure;https://es.trustpilot.com/review/perufulladventure.com;3;3;4.0;3;0;0;0;0
Machu Picchu Travel - Tours to Perú;https://es.trustpilot.com/review/machupicchu.com.pe;3;3;4.0;3;0;0;0;0
Pariwana Hostels;https://es.trustpilot.com/review/pariwana.com;3;3;4.0;3;0;0;0;0
Peru Qorianka Travel;https://es.trustpilot.com/review/peruqorianka.com;3;3;4.0;3;0;0;0;0
Tctrips;https://es.trustpilot.com/review/tctrips.com;2;2;3.8;2;0;0;0;0
Quechuas Expeditions;https://es.trustpilot.com/review/quechuasexpeditions.com;3;3;4.0;3;0;0;0;0
Trip Peru;https://es.trustpilot.com/review/www.trip-peru.com;9;9;3.8;7;0;0;1;1
Qosqo Expeditions;https://es.trustpilot.com/review/qosqoexpeditions.com;2;2;3.8;2;0;0;0;0
Akilpo;https://es.trustpilot.com/review/akilpohuaraz.com;2;2;3.8;2;0;0;0;0
Alpaca Expeditions;https://es.trustpilot.com/review/www.alpacaexpeditions.com;2;2;3.8;2;0;0;0;0
Biteperu;https://es.trustpilot.com/review/biteperu.com;2;2;3.8;2;0;0;0;0
TRAVEL 1 TOURS;https://es.trustpilot.com/review/www.travel1tours.com;2;2;3.8;2;0;0;0;0
Adventureperupath;https://es.trustpilot.com/review/adventureperupath.com;2;2;3.8;2;0;0;0;0
DonPeruTours;https://es.trustpilot.com/review/www.donperutours.com;2;2;3.8;2;0;0;0;0
Machu Travel Peru;https://es.trustpilot.com/review/machutravelperu.com;2;2;3.8;2;0;0;0;0
Tucano Peru;https://es.trustpilot.com/review/tucanoperu.com;1;1;3.7;1;0;0;0;0
incatrilogytours.com;https://es.trustpilot.com/review/incatrilogytours.com;1;1;3.7;1;0;0;0;0
Machupicchu Hop;https://es.trustpilot.com/review/www.machupicchuhop.com;3;3;3.7;2;1;0;0;0
happygringotours.com;https://es.trustpilot.com/review/happygringotours.com;2;2;3.8;2;0;0;0;0
Peru Wayna Picchu;https://es.trustpilot.com/review/peruwaynapicchu.com;2;2;3.8;2;0;0;0;0
dreamy.tours;https://es.trustpilot.com/review/dreamy.tours;1;1;3.7;1;0;0;0;0
Machulas Journey;https://es.trustpilot.com/review/machulasjourney.com;1;1;3.7;1;0;0;0;0
Andean Adventures Peru;https://es.trustpilot.com/review/andeanadventuresperu.com;2;2;3.8;2;0;0;0;0
Planet Odysseys;https://es.trustpilot.com/review/planetodysseys.com;1;1;3.7;1;0;0;0;0
Amazon Peru Travellers;https://es.trustpilot.com/review/amazonperutravellers.com;1;1;3.7;1;0;0;0;0
Peru Andes Discovery;https://es.trustpilot.com/review/peruandesdiscovery.com;1;1;3.7;1;0;0;0;0
Emotiontourperu;https://es.trustpilot.com/review/www.emotiontourperu.com;1;1;3.7;1;0;0;0;0
Wild Watch Peru;https://es.trustpilot.com/review/wildwatchperu.com;2;2;3.8;2;0;0;0;0
Andeanpathtravel;https://es.trustpilot.com/review/www.andeanpathtravel.com;1;1;3.7;1;0;0;0;0
Peru Breathtaking Trips;https://es.trustpilot.com/review/peru-breathtaking-trips.com;1;1;3.7;1;0;0;0;0
Thetravelleragency;https://es.trustpilot.com/review/thetravelleragency.com;1;1;3.7;1;0;0;0;0
Erickson Travel Incorporated;https://es.trustpilot.com/review/ericksontravelincorporated.com;1;1;3.7;1;0;0;0;0
Kimsa Travel;https://es.trustpilot.com/review/kimsatravel.com;1;1;3.7;1;0;0;0;0
Watana Travel;https://es.trustpilot.com/review/watanatravel.com;1;1;3.7;1;0;0;0;0
Wariadventures;https://es.trustpilot.com/review/wariadventures.com;1;1;3.7;1;0;0;0;0
Viva Peru Tours;https://es.trustpilot.com/review/www.vivaperutours.com;1;1;3.7;1;0;0;0;0
Treppid Travels;https://es.trustpilot.com/review/treppid.com;1;1;3.7;1;0;0;0;0
Peru Majestic Travel;https://es.trustpilot.com/review/www.perumajestictravel.com;1;1;3.7;1;0;0;0;0
Amerindia;https://es.trustpilot.com/review/amerindia.pe;1;1;3.7;1;0;0;0;0
Pie Experiences;https://es.trustpilot.com/review/pie-experiences.com;1;1;3.7;1;0;0;0;0
Pack4;https://es.trustpilot.com/review/pack4.travel;1;1;3.7;1;0;0;0;0
Costamar.com;https://es.trustpilot.com/review/costamar.com.pe;1;1;3.7;1;0;0;0;0
Machu Picchu Amazon Peru;https://es.trustpilot.com/review/machupicchuamazonperu.com;1;1;3.7;1;0;0;0;0
Journeyou;https://es.trustpilot.com/review/journeyou.com;71;71;1.6;55;10;1;1;4
Haku Travel;https://es.trustpilot.com/review/www.hakutravel.com;8;8;3.2;6;0;0;0;2
PeruRail;https://es.trustpilot.com/review/perurail.com;29;29;2.0;2;1;1;4;21
Rainbow mountain peru;https://es.trustpilot.com/review/www.rainbowmountainperu.net;8;8;3.6;7;0;0;0;1
Tour Perú Con Yelco;https://es.trustpilot.com/review/tourperuconyelco.com;5;5;3.6;4;0;0;0;1
Inka Express Bus;https://es.trustpilot.com/review/inkaexpressbus.com;8;8;3.6;6;1;0;0;1
